Fund Name,Fund Symbol,Date Updated,Fund Holding Stock Name Via Vanguard,Fund Holding Stock Ticker,Fund Holding Percentage,Share Price Test
Vanguard Windsor II Fund,VWNFX,9/30/2014,Microsoft Corp.,MSFT,3.000000%,47.17
Vanguard Windsor II Fund,VWNFX,9/30/2014,JPMorgan Chase & Co.,JPM,2.700000%,61.14
Vanguard Windsor II Fund,VWNFX,9/30/2014,Pfizer Inc.,PFE,2.400000%,31.65
Vanguard Windsor II Fund,VWNFX,9/30/2014,Wells Fargo & Co.,WFC,2.400000%,54.43
Vanguard Windsor II Fund,VWNFX,9/30/2014,Intel Corp.,INTC,2.400000%,36.7
Vanguard Windsor II Fund,VWNFX,9/30/2014,Medtronic Inc.,MDT,2.300000%,73.77
Vanguard Windsor II Fund,VWNFX,9/30/2014,Citigroup Inc.,C,2.200000%,54.51
Vanguard Windsor II Fund,VWNFX,9/30/2014,Philip Morris International Inc.,PM,2.200000%,85.97
Vanguard Windsor II Fund,VWNFX,9/30/2014,WellPoint Inc.,ANTM,2.200000%,125.4
Vanguard Windsor II Fund,VWNFX,9/30/2014,Sanofi ADR,SNY,2.169093%,46.21
Vanguard Windsor II Fund,VWNFX,9/30/2014,General Dynamics Corp.,GD,1.923284%,142.4
Vanguard Windsor II Fund,VWNFX,9/30/2014,PNC Financial Services Group Inc.,PNC,1.914096%,88.95
Vanguard Windsor II Fund,VWNFX,9/30/2014,Johnson & Johnson,JNJ,1.914799%,106.72
Vanguard Windsor II Fund,VWNFX,9/30/2014,Bank of America Corp.,BAC,1.938802%,17.47
Vanguard Windsor II Fund,VWNFX,9/30/2014,American Express Co.,AXP,1.857720%,93.13
Vanguard Windsor II Fund,VWNFX,9/30/2014,ConocoPhillips,COP,1.831539%,63.61
Vanguard Windsor II Fund,VWNFX,9/30/2014,Wal-Mart Stores Inc.,WMT,1.850477%,e
Vanguard Windsor II Fund,VWNFX,9/30/2014,Oracle Corp.,ORCL,1.719372%,40.76
Vanguard Windsor II Fund,VWNFX,9/30/2014,Capital One Financial Corp.,COF,1.693250%,82.38
Vanguard Windsor II Fund,VWNFX,9/30/2014,Target Corp.,TGT,1.664409%,73.53
Vanguard Windsor II Fund,VWNFX,9/30/2014,Raytheon Co.,RTN,1.662760%,106.39
Vanguard Windsor II Fund,VWNFX,9/30/2014,Occidental Petroleum Corp.,OXY,1.590758%,75.08
Vanguard Windsor II Fund,VWNFX,9/30/2014,Phillips 66,PSX,1.559789%,66.82
Vanguard Windsor II Fund,VWNFX,9/30/2014,Imperial Tobacco Group plc ADR,IMT,1.540423%,0.06
Vanguard Windsor II Fund,VWNFX,9/30/2014,Honeywell International Inc.,HON,1.498322%,97.89
Vanguard Windsor II Fund,VWNFX,9/30/2014,Public Service Enterprise Group Inc.,PEG,1.482664%,41.56
